a,beta,omega,amplitud
1.13,0.081,  2.000000 ,-0.985827
1.13,0.082,  2.000000 ,-0.983392
1.13,0.083,  2.000000 ,-0.980929
1.13,0.084,  2.000000 ,-0.978439
1.13,0.085,  2.000000 ,-0.97592
1.13,0.086,  2.000000 ,-0.973372
1.13,0.087,  2.000000 ,-0.970794
1.13,0.088,  2.000000 ,-0.968184
1.13,0.089,  2.000000 ,-0.965543
1.13,0.09,  1.950000 ,-0.962866
1.13,0.091,  1.950000 ,-0.960144
1.13,0.092,  1.950000 ,-0.957386
1.13,0.093,  1.950000 ,-0.954591
1.13,0.094,  1.950000 ,-0.951758
1.13,0.095,  1.950000 ,-0.948885
1.13,0.096,  1.950000 ,-0.945972
1.13,0.097,  1.950000 ,-0.943017
1.13,0.098,  1.950000 ,-0.940019
1.13,0.099,  1.950000 ,-0.936976
1.13,0.1,  1.950000 ,-0.933886
1.13,0.101,  1.900000 ,-0.930734
1.13,0.102,  1.900000 ,-0.927528
1.13,0.103,  1.900000 ,-0.924268
1.13,0.104,  1.900000 ,-0.920953
1.13,0.105,  1.900000 ,-0.917581
1.13,0.106,  1.900000 ,-0.914148
1.13,0.107,  1.900000 ,-0.910653
1.13,0.108,  1.900000 ,-0.907093
1.13,0.109,  1.900000 ,-0.903464
1.13,0.11,  1.900000 ,-0.899764
1.13,0.111,  1.900000 ,-0.895989
1.13,0.112,  1.900000 ,-0.892135
1.13,0.113,  1.850000 ,-0.888187
1.14,0.081,  1.900000 ,-1.002634
1.14,0.082,  1.900000 ,-1.000361
1.14,0.083,  1.900000 ,-0.998065
1.14,0.084,  1.900000 ,-0.995745
1.14,0.085,  1.850000 ,-0.993393
1.14,0.086,  1.850000 ,-0.991014
1.14,0.087,  1.850000 ,-0.98861
1.14,0.088,  1.850000 ,-0.986179
1.14,0.089,  1.850000 ,-0.983721
1.14,0.09,  1.850000 ,-0.981235
1.14,0.091,  1.850000 ,-0.978721
1.14,0.092,  1.850000 ,-0.976178
1.14,0.093,  1.850000 ,-0.973604
1.14,0.094,  1.850000 ,-0.970999
1.14,0.095,  1.850000 ,-0.968362
1.14,0.096,  1.850000 ,-0.965693
1.14,0.097,  1.850000 ,-0.962989
1.14,0.098,  1.800000 ,-0.960244
1.14,0.099,  1.800000 ,-0.957456
1.14,0.1,  1.800000 ,-0.954631
1.14,0.101,  1.800000 ,-0.951767
1.14,0.102,  1.800000 ,-0.948862
1.14,0.103,  1.800000 ,-0.945915
1.14,0.104,  1.800000 ,-0.942925
1.14,0.105,  1.800000 ,-0.939891
1.14,0.106,  1.800000 ,-0.93681
1.14,0.107,  1.800000 ,-0.933682
1.14,0.108,  1.800000 ,-0.930503
1.14,0.109,  1.800000 ,-0.927273
1.14,0.11,  1.800000 ,-0.923989
1.14,0.111,  1.800000 ,-0.920649
1.14,0.112,  1.800000 ,-0.917251
1.14,0.113,  1.800000 ,-0.913793
1.14,0.114,  1.750000 ,-0.910253
1.14,0.115,  1.750000 ,-0.906646
1.14,0.116,  1.750000 ,-0.902969
1.14,0.117,  1.750000 ,-0.899218
1.14,0.118,  1.750000 ,-0.89539
1.14,0.119,  1.750000 ,-0.891482
1.14,0.12,  1.750000 ,-0.887489
1.14,0.121,  1.750000 ,-0.883407
1.15,0.081,  1.800000 ,-1.018346
1.15,0.082,  1.800000 ,-1.016204
1.15,0.083,  1.800000 ,-1.014043
1.15,0.084,  1.750000 ,-1.011856
1.15,0.085,  1.750000 ,-1.009646
1.15,0.086,  1.750000 ,-1.007414
1.15,0.087,  1.750000 ,-1.005161
1.15,0.088,  1.750000 ,-1.002884
1.15,0.089,  1.750000 ,-1.000585
1.15,0.09,  1.750000 ,-0.998262
1.15,0.091,  1.750000 ,-0.995914
1.15,0.092,  1.750000 ,-0.993542
1.15,0.093,  1.750000 ,-0.991144
1.15,0.094,  1.750000 ,-0.98872
1.15,0.095,  1.750000 ,-0.986269
1.15,0.096,  1.750000 ,-0.98379
1.15,0.097,  1.750000 ,-0.981283
1.15,0.098,  1.750000 ,-0.978747
1.15,0.099,  1.750000 ,-0.976181
1.15,0.1,  1.750000 ,-0.973584
1.15,0.101,  1.750000 ,-0.970955
1.15,0.102,  1.700000 ,-0.968288
1.15,0.103,  1.700000 ,-0.965582
1.15,0.104,  1.700000 ,-0.96284
1.15,0.105,  1.700000 ,-0.960063
1.15,0.106,  1.700000 ,-0.957247
1.15,0.107,  1.700000 ,-0.954393
1.15,0.108,  1.700000 ,-0.9515
1.15,0.109,  1.700000 ,-0.948564
1.15,0.11,  1.700000 ,-0.945587
1.15,0.111,  1.700000 ,-0.942565
1.15,0.112,  1.700000 ,-0.939497
1.15,0.113,  1.700000 ,-0.936382
1.15,0.114,  1.700000 ,-0.933218
1.15,0.115,  1.700000 ,-0.930003
1.15,0.116,  1.700000 ,-0.926736
1.15,0.117,  1.700000 ,-0.923413
1.15,0.118,  1.700000 ,-0.920033
1.15,0.119,  1.700000 ,-0.916593
1.15,0.12,  1.700000 ,-0.913091
1.15,0.121,  1.700000 ,-0.909525
1.15,0.122,  1.650000 ,-0.90588
1.15,0.123,  1.650000 ,-0.902155
1.15,0.124,  1.650000 ,-0.898354
1.15,0.125,  1.650000 ,-0.894475
1.15,0.126,  1.650000 ,-0.890513
1.15,0.127,  1.650000 ,-0.886464
1.15,0.128,  1.650000 ,-0.882324
1.15,0.129,  1.650000 ,-0.878087
1.16,0.081,  1.700000 ,-1.033215
1.16,0.082,  1.700000 ,-1.031184
1.16,0.083,  1.700000 ,-1.029137
1.16,0.084,  1.700000 ,-1.027071
1.16,0.085,  1.700000 ,-1.024987
1.16,0.086,  1.700000 ,-1.022885
1.16,0.087,  1.700000 ,-1.020764
1.16,0.088,  1.700000 ,-1.018623
1.16,0.089,  1.650000 ,-1.016458
1.16,0.09,  1.650000 ,-1.01427
1.16,0.091,  1.650000 ,-1.012062
1.16,0.092,  1.650000 ,-1.009832
1.16,0.093,  1.650000 ,-1.00758
1.16,0.094,  1.650000 ,-1.005305
1.16,0.095,  1.650000 ,-1.003007
1.16,0.096,  1.650000 ,-1.000686
1.16,0.097,  1.650000 ,-0.99834
1.16,0.098,  1.650000 ,-0.99597
1.16,0.099,  1.650000 ,-0.993574
1.16,0.1,  1.650000 ,-0.991151
1.16,0.101,  1.650000 ,-0.988702
1.16,0.102,  1.650000 ,-0.986226
1.16,0.103,  1.650000 ,-0.983721
1.16,0.104,  1.650000 ,-0.981187
1.16,0.105,  1.650000 ,-0.978623
1.16,0.106,  1.650000 ,-0.976028
1.16,0.107,  1.650000 ,-0.973402
1.16,0.108,  1.650000 ,-0.970743
1.16,0.109,  1.650000 ,-0.96805
1.16,0.11,  1.650000 ,-0.965323
1.16,0.111,  1.650000 ,-0.962561
1.16,0.112,  1.650000 ,-0.959762
1.16,0.113,  1.600000 ,-0.956924
1.16,0.114,  1.600000 ,-0.954036
1.16,0.115,  1.600000 ,-0.951106
1.16,0.116,  1.600000 ,-0.948134
1.16,0.117,  1.600000 ,-0.945118
1.16,0.118,  1.600000 ,-0.942057
1.16,0.119,  1.600000 ,-0.938948
1.16,0.12,  1.600000 ,-0.935791
1.16,0.121,  1.600000 ,-0.932583
1.16,0.122,  1.600000 ,-0.929323
1.16,0.123,  1.600000 ,-0.926008
1.16,0.124,  1.600000 ,-0.922636
1.16,0.125,  1.600000 ,-0.919205
1.16,0.126,  1.600000 ,-0.915712
1.16,0.127,  1.600000 ,-0.912155
1.16,0.128,  1.600000 ,-0.908531
1.16,0.129,  1.600000 ,-0.904837
1.16,0.13,  1.600000 ,-0.90107
1.16,0.131,  1.600000 ,-0.897227
1.16,0.132,  1.600000 ,-0.893302
1.16,0.133,  1.600000 ,-0.889294
1.16,0.134,  1.600000 ,-0.885197
1.16,0.135,  1.600000 ,-0.881006
1.16,0.136,  1.600000 ,-0.876717
1.17,0.081,  1.600000 ,-1.047397
1.17,0.082,  1.600000 ,-1.045462
1.17,0.083,  1.600000 ,-1.043513
1.17,0.084,  1.600000 ,-1.041547
1.17,0.085,  1.600000 ,-1.039565
1.17,0.086,  1.600000 ,-1.037567
1.17,0.087,  1.600000 ,-1.035552
1.17,0.088,  1.600000 ,-1.03352
1.17,0.089,  1.600000 ,-1.03147
1.17,0.09,  1.600000 ,-1.029403
1.17,0.091,  1.600000 ,-1.027317
1.17,0.092,  1.600000 ,-1.025213
1.17,0.093,  1.600000 ,-1.02309
1.17,0.094,  1.600000 ,-1.020947
1.17,0.095,  1.600000 ,-1.018784
1.17,0.096,  1.600000 ,-1.016601
1.17,0.097,  1.600000 ,-1.014397
1.17,0.098,  1.600000 ,-1.012172
1.17,0.099,  1.600000 ,-1.009925
1.17,0.1,  1.600000 ,-1.007656
1.17,0.101,  1.600000 ,-1.005364
1.17,0.102,  1.550000 ,-1.003045
1.17,0.103,  1.550000 ,-1.000699
1.17,0.104,  1.550000 ,-0.998328
1.17,0.105,  1.550000 ,-0.995931
1.17,0.106,  1.550000 ,-0.993508
1.17,0.107,  1.550000 ,-0.991059
1.17,0.108,  1.550000 ,-0.988581
1.17,0.109,  1.550000 ,-0.986076
1.17,0.11,  1.550000 ,-0.983541
1.17,0.111,  1.550000 ,-0.980976
1.17,0.112,  1.550000 ,-0.978381
1.17,0.113,  1.550000 ,-0.975754
1.17,0.114,  1.550000 ,-0.973094
1.17,0.115,  1.550000 ,-0.9704
1.17,0.116,  1.550000 ,-0.967672
1.17,0.117,  1.550000 ,-0.964908
1.17,0.118,  1.550000 ,-0.962108
1.17,0.119,  1.550000 ,-0.959269
1.17,0.12,  1.550000 ,-0.956391
1.17,0.121,  1.550000 ,-0.953473
1.17,0.122,  1.550000 ,-0.950513
1.17,0.123,  1.550000 ,-0.94751
1.17,0.124,  1.550000 ,-0.944462
1.17,0.125,  1.550000 ,-0.941367
1.17,0.126,  1.550000 ,-0.938225
1.17,0.127,  1.550000 ,-0.935033
1.17,0.128,  1.550000 ,-0.931789
1.17,0.129,  1.550000 ,-0.928491
1.17,0.13,  1.550000 ,-0.925138
1.17,0.131,  1.550000 ,-0.921726
1.17,0.132,  1.550000 ,-0.918254
1.17,0.133,  1.550000 ,-0.91472
1.17,0.134,  1.500000 ,-0.911101
1.17,0.135,  1.500000 ,-0.907413
1.17,0.136,  1.500000 ,-0.903651
1.17,0.137,  1.500000 ,-0.899813
1.17,0.138,  1.500000 ,-0.895895
1.17,0.139,  1.500000 ,-0.891893
1.17,0.14,  1.500000 ,-0.887803
1.17,0.141,  1.500000 ,-0.883619
1.17,0.142,  1.500000 ,-0.879338
1.17,0.143,  1.500000 ,-0.874954
1.18,0.081,  1.500000 ,-1.060994
1.18,0.082,  1.500000 ,-1.059144
1.18,0.083,  1.500000 ,-1.05728
1.18,0.084,  1.500000 ,-1.055402
1.18,0.085,  1.500000 ,-1.053509
1.18,0.086,  1.500000 ,-1.051602
1.18,0.087,  1.500000 ,-1.04968
1.18,0.088,  1.500000 ,-1.047743
1.18,0.089,  1.500000 ,-1.04579
1.18,0.09,  1.500000 ,-1.043822
1.18,0.091,  1.500000 ,-1.041837
1.18,0.092,  1.500000 ,-1.039836
1.18,0.093,  1.500000 ,-1.037818
1.18,0.094,  1.500000 ,-1.035782
1.18,0.095,  1.500000 ,-1.03373
1.18,0.096,  1.500000 ,-1.031659
1.18,0.097,  1.500000 ,-1.02957
1.18,0.098,  1.500000 ,-1.027462
1.18,0.099,  1.500000 ,-1.025335
1.18,0.1,  1.500000 ,-1.023189
1.18,0.101,  1.500000 ,-1.021022
1.18,0.102,  1.500000 ,-1.018836
1.18,0.103,  1.500000 ,-1.016628
1.18,0.104,  1.500000 ,-1.014399
1.18,0.105,  1.500000 ,-1.012148
1.18,0.106,  1.500000 ,-1.009875
1.18,0.107,  1.500000 ,-1.007579
1.18,0.108,  1.500000 ,-1.005259
1.18,0.109,  1.500000 ,-1.002915
1.18,0.11,  1.500000 ,-1.000546
1.18,0.111,  1.500000 ,-0.998153
1.18,0.112,  1.500000 ,-0.995733
1.18,0.113,  1.500000 ,-0.993286
1.18,0.114,  1.500000 ,-0.990812
1.18,0.115,  1.500000 ,-0.98831
1.18,0.116,  1.500000 ,-0.985779
1.18,0.117,  1.500000 ,-0.983219
1.18,0.118,  1.500000 ,-0.980628
1.18,0.119,  1.500000 ,-0.978005
1.18,0.12,  1.500000 ,-0.97535
1.18,0.121,  1.500000 ,-0.972662
